slno	concept_id	concepticon_id	concepticon_name	name	gloss	concept	stage	comment	category	definition	japanese	hindi	assamese	mandarin	burmese	nagamese	SILCAWL	CALMSEA
282	count:to	1420	COUNT	to count	count	ᴄᴏᴜɴᴛ	3			To determine the total number of items in a group by assigning a number to each one.	数える	गिनना		数数	ရေတွက်ရန်		to count	
553	country..nation	1300	COUNTRY	country (nation)	country	ᴄᴏᴜɴᴛʀʏ	5			A political entity that contains a specific territory, a population, and its own government.	国	देश		国家	နိုင်ငံ			
468	cover:to	761	COVER	to cover	cover	ᴄᴏᴠᴇʀ	4			To place something over an object to hide it, protect it, or keep it from being seen.	かぶせる	ढकना		盖	ဖုံးအုပ်ရန်		cover (v)	
379	crab	2348	CRAB	crab	crab	ᴄʀᴀʙ	4		fauna	A crustacean with a hard shell, a broad body, and two large claws, typically living in water or on land.	蟹	केकड़ा		螃蟹	ဂဏန်း		crab	
864	crawl..of.babies:to	96	CRAWL	to crawl (of babies)	crawl	ᴄʀᴀᴡʟ	5			To move along the ground on one's hands and knees, typically used for an infant who cannot yet walk.		रेंगना		爬行	တွားသွား		to crawl on belly (like a snake)	
554	crest.of.bird	188	COMB OF BIRD	crest of bird	crest	ᴄʀᴇꜱᴛ	5		body parts	The tuft of feathers or hair located on the top of a bird's head.		टोपी		鸟冠	ငှက်တကောင်		comb (of rooster)	
380	cricket	2354	CRICKET	cricket	cricket	ᴄʀɪᴄᴋᴇᴛ	4		fauna	A small, jumping insect that makes a chirping sound, often at night.		क्रिकेट		蟋蟀	ခရစ်ကတ်		cricket	
556	crocodilia:::	1857	CROCODILE	Crocodilia	Crocodilia	ᴄʀᴏᴄᴏᴅɪʟɪᴀ	5		fauna	A large, predatory semiaquatic reptile with a long snout and powerful jaws, typically found in rivers or saltwater.	ワニ	मगरमच्छ		鳄鱼	မိကျောင်း သို့မဟုတ် မိကျောင်း		crocodile	
800	crooked:to.be	297	CROOKED	to be crooked	crooked	ᴄʀᴏᴏᴋᴇᴅ	5			To not be straight or level; having a bent, curved, or twisted shape rather than a straight line.	曲がる	मोड़		弯曲的	ကွေး၊ ကောက်၊ ကွေး		(be) crooked	
865	cross..river:to	–	–	to cross (river)	cross	ᴄʀᴏꜱꜱ	5			To go from one side of a body of water to the other side.		पार करना		穿过	ဖြတ်ကျော်ရန်			
557	crow	913	CROW	crow	crow	ᴄʀᴏᴡ	5		fauna	A large, black bird of the family Corvidae, often seen scavenging or living in social groups.	カラス	कौवा		乌鸦	ကျီးကန်း			
559	crown..of.ruler	–	–	crown (of ruler)	crown	ᴄʀᴏᴡɴ	5	This matches the CONCEPTICON definition of 1943 but not the category.		A ceremonial headpiece worn by a monarch or a person of high royal rank.		मुकुट		王冠	ရှင်ဘုရင်၏သရဖူ၊			
560	cup..modern			cup (modern)	cup	ᴄᴜᴘ	5			A small, open container used for drinking liquids, typically made of ceramic, glass, or metal.								
382	cup..traditional	476	CUP	cup (traditional)	cup	ᴄᴜᴘ	4			A small, open container used for drinking liquids, typically made of wood, clay, or metal rather than glass or plastic.	椀	कप		杯子	ခွက်		cup	
866	cut..general:to	1432	CUT	to cut (general)	cut	ᴄᴜᴛ	5			To divide or separate something into pieces or portions using a sharp tool or edge.	切る	काटना		割	ဖြတ်ရန်		cut (tr)	cut
867	cut.hair:to	–	–	to cut hair	cut.hair	ᴄᴜᴛ.ʜᴀɪʀ	5			To remove hair from a person's head using a tool such as scissors or a razor.		बाल काटना		理发	ဆံပင်ညှပ်ရန်			
868	dam:to	–	–	to dam	dam	ᴅᴀᴍ	5			To build a barrier across a river or stream to stop or control the flow of water.		बाँध बनाना		筑坝	မြစ်ကိုဆည်ဖို့			
469	dance:to	1879	DANCE	to dance	dance	ᴅᴀɴᴄᴇ	4			To move the body rhythmically, often to the sound of music.	踊る	नाचना		跳舞	ကခုန်ဖို့			
561	darkness	11	DARKNESS	darkness	darkness	ᴅᴀʀᴋɴᴇꜱꜱ	5			The state of being without light or having very little light.	暗い	अंधेरा		黑暗	အမှောင်		darkness	
562	daughter	1357	DAUGHTER	daughter	daughter	ᴅᴀᴜɢʜᴛᴇʀ	5		kinship	A female child or offspring in relation to her parents.	娘	बेटी		女儿	သမီး		daughter	
563	daughter.in.law	1057	DAUGHTER-IN-LAW	daughter in law	daughter.in.law	ᴅᴀᴜɢʜᴛᴇʀ.ɪɴ.ʟᴀᴡ	5			The female spouse of one's child.	嫁	बहु		儿媳	ချွေးမ		daughter-in-law	
383	dawn..before.sunrise	729	DAWN	dawn (before sunrise)	dawn	ᴅᴀᴡɴ	4			The period of time when the sky first begins to lighten before the sun appears above the horizon.	あけがた	भोर		黎明	အရုဏ်တက်		dawn (before sunrise)	
120	day::time	1225	DAY (NOT NIGHT)	daytime	daytime	ᴅᴀʏᴛɪᴍᴇ	3			The period of time when the sun is above the horizon and there is light in the sky, as opposed to the period of darkness at night.	昼	दिन का समय		白天	နေ့ဘက်		daytime	sun/day
564	day:.classifier	1260	DAY (24 HOURS)	day	day	ᴅᴀʏ	5			A period of time lasting twenty-four hours, from one sunrise to the next.	日	दिन		天	နေ့ (၂၄ နာရီ)			
801	dead:to.be	1625	DEAD	to be dead	dead	ᴅᴇᴀᴅ	5			To no longer be alive or to have ceased all biological functions.							(be) dead	
802	deaf:to.be	996	DEAF	to be deaf	deaf	ᴅᴇᴀꜰ	5			To be unable to hear sounds.	つんぼ	बहरा होना		聋	ဆွံ့အနားမကြား		to be deaf	
523	deer:barking	3152	MUNTJACS	barking deer	barking.deer	ʙᴀʀᴋɪɴɢ.ᴅᴇᴇʀ	5		fauna	A small-sized deer that makes a loud, sharp sound like a dog when it is startled or threatened.		कसाई		马鹿	ဟောင်သမင်		barking deer	
725	deer:sambar	–	–	sambar deer	sambar.deer	ꜱᴀᴍʙᴀʀ.ᴅᴇᴇʀ	5		fauna	A large deer with a thick coat and antlers, typically found in forested areas.		साम्भर		马鹿	ဆာဘား			
384	deer..general	1936	DEER	deer (general)	deer	ᴅᴇᴇʀ	4		fauna	A hoofed mammal that typically has antlers and lives in forests or grasslands.	鹿	हिरण		鹿	သမင်			
869	defecate:to	676	SHIT (DEFECATE)	to defecate	defecate	ᴅᴇꜰᴇᴄᴀᴛᴇ	5			To discharge feces from the body through the anus.	大便する							shit
565	demon	1973	DEMON	demon	demon	ᴅᴇᴍᴏɴ	5			A supernatural being, often malevolent or harmful, that is not a god or a human.		राक्षस		魔鬼	နတ်ဆိုး		demon, evil spirit	
283	descend..move.down:to	2014	GO DOWN (DESCEND)	to descend (move down)	descend	ᴅᴇꜱᴄᴇɴᴅ	3			To move from a higher position to a lower position.	おりる	उतरना		下降	ဆင်းရန်		descend, go down	descend
385	descendants	490	DESCENDANTS	descendants	descendants	ᴅᴇꜱᴄᴇɴᴅᴀɴᴛꜱ	4		kinship	The people, such as children, grandchildren, or great-grandchildren, who are born to a person.								
470	desire..want:to	2117	DESIRE	to desire (want)	desire	ᴅᴇꜱɪʀᴇ	4			To feel a strong wish or longing for a specific object, action, or outcome.		इच्छा करना		渴望	ဆန္ဒရှိရန်			
386	dew	1977	DEW	dew	dew	ᴅᴇᴡ	4			The tiny drops of water that form on cool surfaces, such as grass or leaves, during the night or early morning.		बरखा		露水	နှင်းရည်			
84	die:to	1494	DIE	to die	die	ᴅɪᴇ	2			To cease to live or to undergo the process of death.	死ぬ	मरना		死	သေဖို့			die
803	difficult..hard:to.be	584	DIFFICULT	to be difficult (hard)	difficult	ᴅɪꜰꜰɪᴄᴜʟᴛ	5			To be hard to do, complete, or understand; not easy.	難しい	कठिन होना		困难	ခက်တယ်။		to be difficult	
85	dig:to	1418	DIG	to dig	dig	ᴅɪɢ	2			To move earth, soil, or sand away from a place using a tool or hands to create a hole or a trench.	掘る	खोदना		挖	တူးရန်		to dig (with a tool)	dig
441	dirty:to.be	1230	DIRTY	to be dirty	dirty	ᴅɪʀᴛʏ	4			To be covered or marked with soil, dust, stains, or waste.	汚い	गंदा होना		脏	ညစ်ပတ်တယ်။		to be dirty (clothes)	
284	discard..throw.away:to	3696	THROW AWAY	to discard (throw away)	discard	ᴅɪꜱᴄᴀʀᴅ	3			To throw something away because it is no longer wanted or useful.	捨てる						throw away, get rid of	
804	disorderly:to.be	–	–	to be disorderly	disorderly	ᴅɪꜱᴏʀᴅᴇʀʟʏ	5			To be in a state of confusion, mess, or lack of organization.		अनुशासित होना		杂乱	ဗရပွဖြစ်ရန်			
870	disturb:to	2883	DISTURB	to disturb	disturb	ᴅɪꜱᴛᴜʀʙ	5			To interrupt the peace, calm, or quiet of a person or a place.		उथल-पुथल मचाना		扰乱	နှောင့်ယှက်ရန်			
567	ditch	2002	DITCH	ditch	ditch	ᴅɪᴛᴄʜ	5			A long, narrow trench dug into the ground, typically used to hold or carry water away from a road or a field.		खाई		沟渠	မြောင်းတစ်ခု		ditch	
871	dive:to	119	DIVE	to dive	dive	ᴅɪᴠᴇ	5			To move one's body quickly downwards into water by jumping or pushing off.		डुबकी लगाना		潜水	ငုပ်ရန်		dive	
122	dog	2009	DOG	dog	dog	ᴅᴏɢ	3		fauna	A domesticated carnivorous mammal often kept as a pet or for guarding.	犬	कुत्ता		狗	ခွေး		dog	dog
387	door::way	1567	DOOR	doorway	doorway	ᴅᴏᴏʀᴡᴀʏ	4	Mismatch with CONCEPTICON		An opening in a wall or partition that allows a person to enter or exit a room or building.	戸			门户	တံခါးပေါက်		door	
568	door..panel	–	–	door (panel)	door	ᴅᴏᴏʀ	5	Mismatch with CONCEPTICON		A single movable part of a doorway used to close an opening in a wall.		दरवाज़ा		门	တံခါး			
86	dream:to	1920	DREAM (SOMETHING)	to dream	dream	ᴅʀᴇᴀᴍ	2			To experience mental images, stories, or sensations while sleeping.	夢を見る	सपना देखना		做梦	အိပ်မက်မက်ဖို့			dream
24	drink:to	1401	DRINK	to drink	drink	ᴅʀɪɴᴋ	1			To swallow a liquid through the mouth.	飲む	पीना		喝	သောက်ရန်			drink
388	drum	908	DRUM	drum	drum	ᴅʀᴜᴍ	4			A percussion instrument that produces sound by striking a stretched membrane with a stick or the hands.		ढोल		鼓	ဒရမ်တစ်ခု		drum (musical instrument)	
442	drunk:to.be	1463	DRUNK	to be drunk	drunk	ᴅʀᴜɴᴋ	4			To be in a state of intoxication caused by consuming alcoholic beverages.	酒に酔う	नशेड़ा		醉	မူးသည်၊ မူးသည်။		to be drunk (alcohol)	
443	dry:to.be	1398	DRY	to be dry	dry	ᴅʀʏ	4			To be free from moisture, liquid, or water.	乾いた	सुखाना		干	ခြောက်သွေ့ရန်		to be dry (rice)	
389	duck	1360	DUCK	duck	duck	ᴅᴜᴄᴋ	4		fauna	A water bird with a broad, flat bill and webbed feet that typically lives near ponds or rivers.	アヒル	बत्ख		鸭子	ဘဲ			
805	durable:to.be	–	–	to be durable	durable	ᴅᴜʀᴀʙʟᴇ	5			To last for a long time without breaking, wearing out, or being destroyed.		टिकाऊ होना		耐用	တာရှည်ခံဖို့			
390	dusk..just.after.sunset	2297	DUSK	dusk (just after sunset)	dusk	ᴅᴜꜱᴋ	4			The period of time immediately after the sun has gone below the horizon but before it is completely dark.		अंधेरा		黄昏	နေဝင်ရီတရော		dusk, twilight (after sunset)	
391	dust	2	DUST	dust	dust	ᴅᴜꜱᴛ	4			Fine, dry particles of matter that are carried in the air or settle on surfaces.	埃	धूल		灰尘	ဖုန်မှုန့်		dust	
872	dye:to	157	DYE	to dye	dye	ᴅʏᴇ	5			To change the color of a material, such as fabric or hair, by soaking it in a liquid or applying a colored substance.		रंग लगाना		染色	ဆေးဆိုးရန် သို့မဟုတ် ဆေးသုတ်ရန်		to dye (cloth)	
123	ear	1247	EAR	ear	ear	ᴇᴀʀ	3		body parts	The organ on the side of the head used for hearing.	耳	कान		耳朵	နား		ear	ear/hear
572	ear::lobe	18	EARLOBE	earlobe	earlobe	ᴇᴀʀʟᴏʙᴇ	5		body parts	The soft, fleshy lower part of the external ear located below the ear canal.		कान का झुमका		耳垂	နားအူ			
392	ear::ring			earring	earring	ᴇᴀʀʀɪɴɢ	4			An ornament worn on the earlobe or through a piercing in the ear.								
124	earth..area.or.plot	1228	EARTH (SOIL)	earth (area or plot)	earth	ᴇᴀʀᴛʜ	3			The top layer of the ground consisting of dirt or soil, often used for planting or building.								earth
574	earthquake	6	EARTHQUAKE	earthquake	earthquake	ᴇᴀʀᴛʜꞯᴜᴀᴋᴇ	5			A sudden shaking or movement of the ground caused by tectonic forces or volcanic activity.		भूकंप		地震	ငလျင်			
125	east	1877	EAST	east	east	ᴇᴀꜱᴛ	3			The direction where the sun rises in the morning.	東	पूर्व		东	အရှေ့		east	
444	easy:to.be	686	EASY	to be easy	easy	ᴇᴀꜱʏ	4			To require little effort or difficulty to do or complete.	易しい	आसान होना		容易	လွယ်ကူစေရန်		to be easy	
285	eat:.hard:to	1336	EAT	to eat	eat	ᴇᴀᴛ	3		verbs	To take food into the mouth, chew it, and swallow it.		खाना खाना		吃	စားရန်			eat
286	eat:.soft:to	1336	EAT	to eat	eat	ᴇᴀᴛ	3		verbs	To take food into the mouth, chew it, and swallow it for nourishment.		खाना खाना		吃	စားရန်			eat
576	eel	–	–	eel	eel	ᴇᴇʟ	5		fauna	A long, thin, snake-like fish that lives in water.		बाम		鳗鱼	ငါးရှဉ့်			
578	egg::shell	3857	EGGSHELL	eggshell	eggshell	ᴇɢɢꜱʜᴇʟʟ	5		body parts	The hard, outer covering of an egg that protects the inside.		अंडे की खुरदनी		蛋壳	ကြက်ဥအခွံ		eggshell	
126	egg..general	744	EGG	egg (general)	egg	ᴇɢɢ	3		body parts	An oval or round object produced by a bird, reptile, or fish, which contains a developing embryo and a yolk.	卵	चिड़िया का अंडा		鸟蛋	ငှက်ဥ		egg	egg
577	eggplant..brinjal	1146	AUBERGINE	eggplant (brinjal)	eggplant	ᴇɢɢᴘʟᴀɴᴛ	5		flora	A fleshy, edible fruit that grows on a plant, often shaped like an oval or a sphere, and is typically purple or dark in color.	なすび	बैंगन		茄子	ခရမ်းသီး		eggplant (fruit)	
395	elephant	1290	ELEPHANT	elephant	elephant	ᴇʟᴇᴘʜᴀɴᴛ	4		fauna	A large, heavy mammal with a long trunk and large tusks.	象	हाथी		大象	ဆင်		elephant	
580	elephant.tusk	3280	TUSK	elephant tusk	elephant.tusk	ᴇʟᴇᴘʜᴀɴᴛ.ᴛᴜꜱᴋ	5		body parts	A long, hard, white tooth that grows outside the mouth of an elephant.		हाथी दांत		长牙	စွယ်		elephant tusk	
582	embankment	–	–	embankment	embankment	ᴇᴍʙᴀɴᴋᴍᴇɴᴛ	5			An artificial wall or mound of earth or stone built up to hold back water or to raise the level of a road or railway.		तलाब का बांध		堤	တာတမံ			
396	embers	67	EMBERS	embers	embers	ᴇᴍʙᴇʀꜱ	4			The small, glowing pieces of wood or coal that remain in a fire after the flames have gone out.								
471	embrace..hug:to	928	EMBRACE	to embrace (hug)	embrace	ᴇᴍʙʀᴀᴄᴇ	4			To wrap one's arms around a person's body to show affection or greeting.		गले लगाना		拥抱	ထွေးပွေ့ရန်		embrace, hug (v)	
287	emerge:to	1076	EMERGE (APPEAR)	to emerge	emerge	ᴇᴍᴇʀɢᴇ	3			To move from a hidden or internal place into view.		उभरना		浮现	ပေါ်ထွက်လာရန်			emerge
445	empty:to.be	1624	EMPTY	to be empty	empty	ᴇᴍᴘᴛʏ	4			To contain nothing inside; to have no objects or substances within a container or space.	空っぽの	खाली होना		空	ဗလာဖြစ်		(be) empty	
583	enemy	1358	ENEMY	enemy	enemy	ᴇɴᴇᴍʏ	5			A person or group that is a rival or an opponent in a conflict, war, or fight.	敵	दुश्मन		敌人	ရန်သူ		enemy	
806	enough!sufficient:to.be	1881	ENOUGH	to be enough, sufficient	enough	ᴇɴᴏᴜɢʜ	5			To be as much as is required or needed for a particular purpose.		काफी होना		足够	လုံလောက်တယ်၊ လုံလောက်တယ်။		enough	
472	enter:to	749	ENTER	to enter	enter	ᴇɴᴛᴇʀ	4		verbs	To move from the outside to the inside of a place, such as a room, a building, or a container.	入る	अंदर जाना		进入	ဝင်ရန်		to enter (house)	
807	equal:to.be	1570	EQUAL	to be equal	equal	ᴇꞯᴜᴀʟ	5			To have the same size, amount, value, or quality as something else.		समान होना		相等	ပမာဏ ညီမျှစေရန်		(be) equal	
873	erect:to	1840	BUILD	to erect	erect	ᴇʀᴇᴄᴛ	5			To construct or build a structure, such as a house, a wall, or a monument, by putting parts together.		खड़े होना		直立	တည့်မတ်ရန်		build	
397	ereyesterday	1180	DAY BEFORE YESTERDAY	ereyesterday	ereyesterday	ᴇʀᴇʏᴇꜱᴛᴇʀᴅᴀʏ	4			The day that occurred two days before today.	おととい	परसों		前天	မနေ့က		day before yesterday	
398	evening	1629	EVENING	evening	evening	ᴇᴠᴇɴɪɴɢ	4			The period of time at the end of the day, occurring after the afternoon and before the night.	夕方	शाम		晚上	ညနေ			
584	evening.star	3341	EVENING STAR	evening star	evening.star	ᴇᴠᴇɴɪɴɢ.ꜱᴛᴀʀ	5			The largest and brightest planet visible in the sky during the period after sunset.								
585	every..each	3416	EVERY (EACH)	every (each)	every	ᴇᴠᴇʀʏ	5			A single member of a group, considered one by one, rather than the group as a whole.		हर		每个	တစ်ခုချင်းစီ၊ တိုင်း			
874	exchange:to	2509	EXCHANGE	to exchange	exchange	ᴇxᴄʜᴀɴɢᴇ	5			To give something to another person and receive something else in return.		विनिमय		交换	လဲလှယ်ရန်		to exchange	
875	explode:to	3976	EXPLODE	to explode	explode	ᴇxᴘʟᴏᴅᴇ	5			To burst or shatter suddenly and violently, often with a loud noise, due to internal pressure.		फटना		爆炸	မီးထဲတွင် ဝါးကဲ့သို့ ပေါက်ကွဲသည်။			
288	extinguish..fire:to	127	EXTINGUISH	to extinguish (fire)	extinguish	ᴇxᴛɪɴɢᴜɪꜱʜ	3		verbs	To make a fire stop burning by using water, sand, or by smothering it.	火を消す	बुझाना		熄灭	ငြိမ်းအေးရန်		to extinguish (fire)	extinguish
5	eye	1248	EYE	eye	eye	ᴇʏᴇ	1		body parts	The organ on the face used for seeing and perceiving light.	目	आँख		眼睛	မျက်လုံး		eye	eye
399	eye::brow	1173	EYEBROW	eyebrow	eyebrow	ᴇʏᴇʙʀᴏᴡ	4		body parts	The strip of hair growing on the bone above the eye.	まゆげ	भौं		眉毛	မျက်ခုံးမွေး		eyebrow	
586	eye::lash	1540	EYELASH	eyelash	eyelash	ᴇʏᴇʟᴀꜱʜ	5		body parts	A single hair growing along the edge of the eyelid.	まつげ	पलक की झपकी		睫毛	မျက်တောင်		eyelash	
400	eye::lid	17	EYELID	eyelid	eyelid	ᴇʏᴇʟɪᴅ	4		body parts	The skin that covers and protects the eye, which can be raised or lowered.	まぶた	पलक		眼皮	မျက်ခွံ		eyelid	
710	eye.:pupil	1658	PUPIL	pupil	pupil	ᴘᴜᴘɪʟ	5		body parts	The black, circular opening in the center of the eye.		पुपिल		瞳孔	မျက်စိ၏ကျောင်းသား			
401	face	1560	FACE	face	face	ꜰᴀᴄᴇ	4		body parts	The front part of a person's head, including the eyes, nose, mouth, and ears.	顔	चेहरा		脸	မျက်နှာ		face	
402	faeces..excrement	675	FAECES (EXCREMENT)	faeces (excrement)	faeces	ꜰᴀᴇᴄᴇꜱ	4			The waste matter that is discharged from the body through the anus after digestion.	d						excrement	
289	fall..of.objects:to	1280	FALL	to fall (of objects)	fall	ꜰᴀʟʟ	3			To move downward from a higher position to a lower position due to gravity.	落ちる	गिरना		落下	အရွက်များကဲ့သို့ ကြွေကျခြင်း၊		to fall (from a height)	fall (from a height)
808	false:to.be	3069	FALSE	to be false	false	ꜰᴀʟꜱᴇ	5			To not be true or correct; to be contrary to the facts or reality.		गलत होना		错误的	မှားသည်ဖြစ်စေ မှားသည်ဖြစ်စေ			
403	family..household	194	FAMILY	family (household)	family	ꜰᴀᴍɪʟʏ	4			A group of people who live together in the same house and are related by blood, marriage, or adoption.	家族	परिवार		家庭	မိသားစု		family	
237	far:to.be	1406	FAR	to be far	far	ꜰᴀʀ	3			To be at a great distance in space or time, rather than being near or close.	遠い	दूर		远	ဝေးဖို့		to be far (village many miles away)	far
446	fast:to.be	1631	FAST	to be fast	fast	ꜰᴀꜱᴛ	4			To move or happen at a high speed, covering a distance in a short amount of time.	速い	तेज		快	မြန်တယ်၊ မြန်တယ်။		to be fast	
238	fat:to.be	1279	FAT (OBESE)	to be fat	fat	ꜰᴀᴛ	3			To have an excess of body flesh or fat, such that the body appears large or heavy.	太った, 太い	मोटा		肥	အဆီကျဖို့		to be fat (person)	fat
128	fat..substance	323	FAT (ORGANIC SUBSTANCE)	fat (substance)	fat	ꜰᴀᴛ	3			An oily, greasy substance found in animal or plant bodies used for energy or cooking.								fat/grease
51	father	1217	FATHER	father	father	ꜰᴀᴛʜᴇʀ	2			A male parent.	父	पिता		父亲	အဖေ		father	
290	fear:to	1419	FEAR (BE AFRAID)	to fear	fear	ꜰᴇᴀʀ	3			To experience a strong, unpleasant emotion caused by the presence or possibility of danger, harm, or a threat.	恐れる	डरना		害怕	ကြောက်ဖို့ကောင်းတယ်။		fear (n)	fear/frighten
129	feather	1201	FEATHER	feather	feather	ꜰᴇᴀᴛʜᴇʀ	2		body parts	A single, light part of a bird's body covering that is used for flight or warmth.	羽毛	पंख		羽毛	အမွေး		feather (body hair)	
876	feed..infant:to	739	FEED	to feed (infant)	feed	ꜰᴇᴇᴅ	5			To give food or milk to a very young child or baby.		खिलाना		喂	ကျွေးဖို့		feed (animals)	
404	fence	1690	FENCE	fence	fence	ꜰᴇɴᴄᴇ	4			A structure made of wood, metal, or stone that surrounds an area of land or a building to mark a boundary or provide security.		बाड़		围栏	ခြံစည်းရိုး		fence (n)	
291	ferment..alcohol:to			to ferment (alcohol)	ferment	ꜰᴇʀᴍᴇɴᴛ	3			To undergo a chemical process where sugars are converted into alcohol by yeast, often resulting in a beverage.								
130	festival	131	FESTIVAL	festival	festival	ꜰᴇꜱᴛɪᴠᴀʟ	3			A large, organized public celebration or social gathering, often involving traditional rituals, music, or food, held on a specific day or period.	祭	त्योहार		节日	ပွဲတော်			
886	fever:to.have	1534	FEVER	to have fever	fever	ꜰᴇᴠᴇʀ	5			To have a body temperature that is higher than normal.		बुखार होना		发烧	အဖျားရှိရန်		fever (not malaria)	
447	few..in.number:to.be	1242	FEW	to be few (in number)	few	ꜰᴇᴡ	4			To exist in a small quantity or a small number of individuals, rather than a large amount.	少ない	कुछ		少	အနည်းငယ်ဖြစ်ရန်		to be few (people)	
161	field:jhum	2794	FIELD (UPLAND)	jhum field	jhum.field	ᴊʜᴜᴍ.ꜰɪᴇʟᴅ	3			A piece of land used for farming that is created by cutting down forest vegetation and burning it.	焼畑	झुम का खेत		烧林放牧	ခုတ်ထစ်ခြင်းနှင့် မီးရှို့ခြင်းအကွက်		dry (burned) field	swidden
198	field:paddy	140	PADDY FIELD	paddy field	paddy.field	ᴘᴀᴅᴅʏ.ꜰɪᴇʟᴅ	3			A piece of land covered in water where rice is grown.		धान का खेत		水稻田	လယ်ကွင်း		wet rice field	irrigated paddy field
588	field..general	212	FIELD	field (general)	field	ꜰɪᴇʟᴅ	5			An area of land used for growing crops or for grazing animals.	田畑	खेत		田地	လယ်ကွင်း			field
52	finger	1303	FINGER	finger	finger	ꜰɪɴɢᴇʀ	2		body parts	The long, slender part of a hand located between the palm and the tip.	指	उंगली	আঙুল	手指	လက်ညှိုး		finger	finger/toe
131	finger::nail	1258	FINGERNAIL	fingernail	fingernail	ꜰɪɴɢᴇʀɴᴀɪʟ	3		body parts	The hard, protective plate located at the very tip of a finger.	爪	नाखून		指甲	လက်သည်း		fingernail	
225	finger.:thumb	1781	THUMB	thumb	thumb	ᴛʜᴜᴍʙ	3			The short digit of the human hand, located next to the fingers.		अंगूठा	আঙুঠ	拇指	လက်မ		thumb	
6	fire	221	FIRE	fire	fire	ꜰɪʀᴇ	1			The heat and light produced when something burns.	火	आग		火	မီး		fire	fire
406	fire::place..hearth	185	FIREPLACE	fireplace (hearth)	fireplace	ꜰɪʀᴇᴘʟᴀᴄᴇ	4			A structure, often made of stone or brick, used for containing a fire for warmth or cooking inside a building.		चूल्हा		炉灶	မီးဖို		fireplace	
592	fire::place.shelf	–	–	fireplace shelf	fireplace.shelf	ꜰɪʀᴇᴘʟᴀᴄᴇ.ꜱʜᴇʟꜰ	5			A flat, horizontal surface attached to a wall above a hearth or a place for making a fire.		मंडप		炉架	မီးဖိုထက်တွင် စင် သို့မဟုတ် စင်			
132	fire::wood	10	FIREWOOD	firewood	firewood	ꜰɪʀᴇᴡᴏᴏᴅ	3			Wood or other organic material that is used as fuel for making a fire.	薪	लकड़ी		柴火	ထင်း		firewood	
405	firefly	206	FIREFLY	firefly	firefly	ꜰɪʀᴇꜰʟʏ	4		fauna	A small insect that flies at night and produces a light from its body.		जुगनू		萤火虫	ပိုးစုန်းကြူး			
809	first:to.be	728	FIRST	to be first	first	ꜰɪʀꜱᴛ	5			To occupy the earliest position in a sequence, a list, or a race.	最初に	पहला		第一	ပထမ		(be) first	
133	fish	227	FISH	fish	fish	ꜰɪꜱʜ	3		fauna	An aquatic animal that breathes through gills and lives in water.	魚	मछली		鱼	ငါး		fish (v)	fish
854	fish:to.catch	2638	FISHING	to catch fish	catch.fish	ᴄᴀᴛᴄʜ.ꜰɪꜱʜ	5			To capture or trap aquatic animals such as fish from a body of water.	釣る							
596	flame	889	FLAME	flame	flame	ꜰʟᴀᴍᴇ	5			The visible, glowing part of a fire caused by burning fuel.		ज्वाला		火焰	မီးတောက်		flame	
239	flat:to.be	1633	FLAT	to be flat	flat	ꜰʟᴀᴛ	3			To have a smooth, even surface without any bumps, curves, or raised parts.	平たい	समतल		平的	ပြားချပ်		(be) flat	
408	flea	232	FLEA	flea	flea	ꜰʟᴇᴀ	4		fauna	A small, wingless, jumping insect that lives as a parasite on the skin of mammals or birds and sucks their blood.	蚤	उम्मड़		跳蚤	လှေး၊		flea	
292	flee..run.away:to	956	FLEE	to flee (run away)	flee	ꜰʟᴇᴇ	3			To run or move quickly away from a place or a person, often because of danger, fear, or a desire to avoid being caught.	逃げる	भागना		奔跑 / 逃跑	ပြေး၊ ပြေး		flee, run away from	run/flee
877	float:to	1574	FLOAT	to float	float	ꜰʟᴏᴀᴛ	5			To rest or move on the surface of a liquid without sinking.	浮かぶ	तैरना		漂浮	မျှော			
473	flood:to	–	–	to flood	flood	ꜰʟᴏᴏᴅ	4			To have a large amount of water cover an area of land that is usually dry.		बाढ़		洪水	ရေလွှမ်းမိုး			
597	floor	1632	FLOOR	floor	floor	ꜰʟᴏᴏʀ	5			The flat, horizontal surface of a room or a building that people walk upon.		मंज़िल		地板	ကြမ်းပြင်		floor	
474	flow..of.water:to	2003	FLOW	to flow (of water)	flow	ꜰʟᴏᴡ	4			To move continuously in a stream or current, such as a river or water from a tap.		बहना		流	စီးဆင်းရန်၊ ရေ		to flow (river)	
7	flower	239	FLOWER	flower	flower	ꜰʟᴏᴡᴇʀ	1		flora	The reproductive part of a plant, often colorful and fragrant, used for making seeds.	花	फूल		花	ပန်း		flower	flower
536	flower.:bud	1684	BUD	bud	bud	ʙᴜᴅ	5		flora	A small, undeveloped part of a plant that will grow into a leaf or a flower.		कली		花蕾	ပန်းဖူး		bud	
87	fly:to	1441	FLY (MOVE THROUGH AIR)	to fly	fly	ꜰʟʏ	2			To move through the air using wings or by means of flight.	飛ぶ	उड़ना		飞	ပျံသန်းရန်			fly
135	fog..mist	249	FOG	fog (mist)	fog	ꜰᴏɢ	3			A thick cloud of tiny water droplets suspended in the air near the ground that makes it difficult to see clearly.	霧	कोहरा		雾	မြူ၊ မြူ		mist/fog	
